"Station","Polluant","Typologie","Lat","Lon","Heure_Ref","Echeance_H","Date_Prevue","Pred_Mean","Pred_Max_80","Pred_Max_95","Statut"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,1,2026-01-06 12:00:00,6.58,11.12,13.53,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,2,2026-01-06 13:00:00,6.44,11.12,13.61,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,3,2026-01-06 14:00:00,7.05,11.88,14.44,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,4,2026-01-06 15:00:00,8.03,12.99,15.63,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,5,2026-01-06 16:00:00,10.16,15.25,17.96,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,6,2026-01-06 17:00:00,11.72,16.94,19.72,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,7,2026-01-06 18:00:00,12.56,17.91,20.76,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,8,2026-01-06 19:00:00,12.55,18.03,20.94,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,9,2026-01-06 20:00:00,12.81,18.41,21.38,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,10,2026-01-06 21:00:00,13.03,18.75,21.78,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,11,2026-01-06 22:00:00,11.96,17.79,20.89,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,12,2026-01-06 23:00:00,10.78,16.72,19.88,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,13,2026-01-07,9.86,15.92,19.13,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,14,2026-01-07 01:00:00,9.63,15.8,19.07,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,15,2026-01-07 02:00:00,9.23,15.51,18.84,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,16,2026-01-07 03:00:00,8.43,14.81,18.2,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,17,2026-01-07 04:00:00,7.98,14.46,17.9,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,18,2026-01-07 05:00:00,8.25,14.83,18.33,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,19,2026-01-07 06:00:00,8.71,15.4,18.95,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,20,2026-01-07 07:00:00,9.75,16.53,20.13,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,21,2026-01-07 08:00:00,12.5,19.38,23.03,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,22,2026-01-07 09:00:00,15.24,22.21,25.92,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,23,2026-01-07 10:00:00,13.71,20.78,24.54,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,24,2026-01-07 11:00:00,11.93,19.09,22.9,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,25,2026-01-07 12:00:00,10.55,17.81,21.66,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,26,2026-01-07 13:00:00,9.24,16.58,20.49,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,27,2026-01-07 14:00:00,9.11,16.55,20.5,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,28,2026-01-07 15:00:00,9.52,17.04,21.04,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,29,2026-01-07 16:00:00,11.25,18.85,22.9,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,30,2026-01-07 17:00:00,12.52,20.21,24.3,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,31,2026-01-07 18:00:00,13.16,20.94,25.07,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,32,2026-01-07 19:00:00,13,20.86,25.04,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,33,2026-01-07 20:00:00,13.15,21.1,25.32,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,34,2026-01-07 21:00:00,13.3,21.32,25.59,"Normal"
