"Station","Polluant","Typologie","Lat","Lon","Heure_Ref","Echeance_H","Date_Prevue","Pred_Mean","Pred_Max","Statut"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,1,2026-01-06 12:00:00,6.58,13.53,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,2,2026-01-06 13:00:00,6.44,13.61,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,3,2026-01-06 14:00:00,7.05,14.44,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,4,2026-01-06 15:00:00,8.03,15.63,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,5,2026-01-06 16:00:00,10.16,17.96,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,6,2026-01-06 17:00:00,11.72,19.72,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,7,2026-01-06 18:00:00,12.56,20.76,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,8,2026-01-06 19:00:00,12.55,20.94,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,9,2026-01-06 20:00:00,12.81,21.38,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,10,2026-01-06 21:00:00,13.03,21.78,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,11,2026-01-06 22:00:00,11.96,20.89,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,12,2026-01-06 23:00:00,10.78,19.88,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,13,2026-01-07,9.86,19.13,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,14,2026-01-07 01:00:00,9.63,19.07,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,15,2026-01-07 02:00:00,9.23,18.84,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,16,2026-01-07 03:00:00,8.43,18.2,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,17,2026-01-07 04:00:00,7.98,17.9,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,18,2026-01-07 05:00:00,8.25,18.33,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,19,2026-01-07 06:00:00,8.71,18.95,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,20,2026-01-07 07:00:00,9.75,20.13,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,21,2026-01-07 08:00:00,12.5,23.03,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,22,2026-01-07 09:00:00,15.24,25.92,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,23,2026-01-07 10:00:00,13.71,24.54,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,24,2026-01-07 11:00:00,11.93,22.9,"Normal"
"Agathois-Piscénois - Périurbain","NO2","Périurbaine",43.2878,3.50483,2026-01-06 11:00:00,25,2026-01-07 12:00:00,10.55,21.66,"Normal"
