"Station","Polluant","Typologie","Commune","Lat","Lon","Heure_Ref","Echeance_H","Date_Prevue","Pred_Mean","Pred_Max_80","Pred_Max_95","Statut"
"Albi Urbain","NO2","Urbaine","ALBI",43.9281,2.14611,2026-01-06 12:00:00,1,2026-01-06 13:00:00,6.59,10.63,12.77,"Normal"
"Albi Urbain","NO2","Urbaine","ALBI",43.9281,2.14611,2026-01-06 12:00:00,2,2026-01-06 14:00:00,6.43,10.48,12.62,"Normal"
"Albi Urbain","NO2","Urbaine","ALBI",43.9281,2.14611,2026-01-06 12:00:00,3,2026-01-06 15:00:00,7.89,11.95,14.1,"Normal"
"Albi Urbain","NO2","Urbaine","ALBI",43.9281,2.14611,2026-01-06 12:00:00,4,2026-01-06 16:00:00,11.25,15.32,17.48,"Normal"
"Albi Urbain","NO2","Urbaine","ALBI",43.9281,2.14611,2026-01-06 12:00:00,5,2026-01-06 17:00:00,17.02,21.1,23.26,"Normal"
"Albi Urbain","NO2","Urbaine","ALBI",43.9281,2.14611,2026-01-06 12:00:00,6,2026-01-06 18:00:00,20.88,24.97,27.14,"Normal"
"Albi Urbain","NO2","Urbaine","ALBI",43.9281,2.14611,2026-01-06 12:00:00,7,2026-01-06 19:00:00,20.34,24.45,26.62,"Normal"
"Albi Urbain","NO2","Urbaine","ALBI",43.9281,2.14611,2026-01-06 12:00:00,8,2026-01-06 20:00:00,17.37,21.48,23.65,"Normal"
"Albi Urbain","NO2","Urbaine","ALBI",43.9281,2.14611,2026-01-06 12:00:00,9,2026-01-06 21:00:00,15.65,19.77,21.95,"Normal"
"Albi Urbain","NO2","Urbaine","ALBI",43.9281,2.14611,2026-01-06 12:00:00,10,2026-01-06 22:00:00,14.26,18.39,20.57,"Normal"
"Albi Urbain","NO2","Urbaine","ALBI",43.9281,2.14611,2026-01-06 12:00:00,11,2026-01-06 23:00:00,11.74,15.88,18.07,"Normal"
"Albi Urbain","NO2","Urbaine","ALBI",43.9281,2.14611,2026-01-06 12:00:00,12,2026-01-07,10.12,14.27,16.47,"Normal"
"Albi Urbain","NO2","Urbaine","ALBI",43.9281,2.14611,2026-01-06 12:00:00,13,2026-01-07 01:00:00,8.23,12.39,14.59,"Normal"
"Albi Urbain","NO2","Urbaine","ALBI",43.9281,2.14611,2026-01-06 12:00:00,14,2026-01-07 02:00:00,7.36,11.53,13.73,"Normal"
