"Station","Commune","Typologie","Lat","Lon","Heure_Ref","Echeance_H","Heure_Prediction","Date_Prevue","Pred_O3","Risque_Max","Statut"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,1,"14:00",2026-01-06 14:00:00,47.33,60.89,"Normal"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,2,"15:00",2026-01-06 15:00:00,46.87,60.45,"Normal"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,3,"16:00",2026-01-06 16:00:00,43.79,57.39,"Normal"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,4,"17:00",2026-01-06 17:00:00,34.91,48.51,"Normal"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,5,"18:00",2026-01-06 18:00:00,28.51,42.12,"Normal"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,6,"19:00",2026-01-06 19:00:00,25.55,39.18,"Normal"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,7,"20:00",2026-01-06 20:00:00,25.29,38.93,"Normal"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,8,"21:00",2026-01-06 21:00:00,25.45,39.1,"Normal"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,9,"22:00",2026-01-06 22:00:00,25.22,38.88,"Normal"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,10,"23:00",2026-01-06 23:00:00,25.13,38.8,"Normal"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,11,"00:00",2026-01-07,24.29,37.98,"Normal"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,12,"01:00",2026-01-07 01:00:00,23.02,36.71,"Normal"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,13,"02:00",2026-01-07 02:00:00,22.91,36.61,"Normal"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,14,"03:00",2026-01-07 03:00:00,22.65,36.36,"Normal"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,15,"04:00",2026-01-07 04:00:00,23.57,37.28,"Normal"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,16,"05:00",2026-01-07 05:00:00,25.24,38.96,"Normal"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,17,"06:00",2026-01-07 06:00:00,24.46,38.19,"Normal"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,18,"07:00",2026-01-07 07:00:00,23.85,37.59,"Normal"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,19,"08:00",2026-01-07 08:00:00,25.35,39.1,"Normal"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,20,"09:00",2026-01-07 09:00:00,27.41,41.17,"Normal"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,21,"10:00",2026-01-07 10:00:00,31.77,45.53,"Normal"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,22,"11:00",2026-01-07 11:00:00,39.28,53.05,"Normal"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,23,"12:00",2026-01-07 12:00:00,43.7,57.48,"Normal"
"Castres-Travet Urbain","CASTRES","Urbaine",43.6106,2.23,2026-01-06 13:00:00,24,"13:00",2026-01-07 13:00:00,46.09,59.87,"Normal"
"Lourdes-Lapaca Urbain","LOURDES","Urbaine",43.0969,-0.038889,2026-01-06 13:00:00,1,"14:00",2026-01-06 14:00:00,67.49,84.02,"Normal"
"Lourdes-Lapaca Urbain","LOURDES","Urbaine",43.0969,-0.038889,2026-01-06 13:00:00,2,"15:00",2026-01-06 15:00:00,64.45,81,"Normal"
