"Station","Polluant","Typologie","Lat","Lon","Heure_Ref","Echeance_H","Date_Prevue","Pred_Mean","Pred_Max_80","Pred_Max_95","Statut"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,1,2026-01-06 12:00:00,6.13,9.96,12,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,2,2026-01-06 13:00:00,5.58,10.06,12.44,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,3,2026-01-06 14:00:00,5.49,10.53,13.21,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,4,2026-01-06 15:00:00,6.23,11.78,14.72,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,5,2026-01-06 16:00:00,6.54,12.55,15.74,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,6,2026-01-06 17:00:00,9.59,16.02,19.44,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,7,2026-01-06 18:00:00,12.72,19.55,23.19,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,8,2026-01-06 19:00:00,14.88,22.1,25.94,"ALERTE POSSIBLE"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,9,2026-01-06 20:00:00,13.04,20.62,24.65,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,10,2026-01-06 21:00:00,12.7,20.62,24.82,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,11,2026-01-06 22:00:00,13.3,21.55,25.93,"ALERTE POSSIBLE"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,12,2026-01-06 23:00:00,12.11,20.67,25.22,"ALERTE POSSIBLE"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,13,2026-01-07,9.57,18.44,23.15,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,14,2026-01-07 01:00:00,8.28,17.44,22.31,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,15,2026-01-07 02:00:00,6.98,16.43,21.45,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,16,2026-01-07 03:00:00,6.24,15.96,21.13,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,17,2026-01-07 04:00:00,5.99,15.98,21.29,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,18,2026-01-07 05:00:00,5.66,15.91,21.36,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,19,2026-01-07 06:00:00,5.52,16.02,21.6,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,20,2026-01-07 07:00:00,5.74,16.49,22.21,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,21,2026-01-07 08:00:00,6.71,17.7,23.54,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,22,2026-01-07 09:00:00,6.9,18.13,24.1,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,23,2026-01-07 10:00:00,7.15,18.61,24.7,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,24,2026-01-07 11:00:00,7.1,18.79,25,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,25,2026-01-07 12:00:00,6.36,18.27,24.6,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,26,2026-01-07 13:00:00,5.63,17.76,24.21,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,27,2026-01-07 14:00:00,5.54,17.88,24.44,"Normal"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,28,2026-01-07 15:00:00,6.28,18.83,25.5,"ALERTE POSSIBLE"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,29,2026-01-07 16:00:00,6.59,19.35,26.13,"ALERTE POSSIBLE"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,30,2026-01-07 17:00:00,9.64,22.6,29.48,"ALERTE POSSIBLE"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,31,2026-01-07 18:00:00,12.76,25.93,32.92,"ALERTE MOYENNE"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,32,2026-01-07 19:00:00,14.93,28.29,35.38,"ALERTE MOYENNE"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,33,2026-01-07 20:00:00,13.09,26.64,33.84,"ALERTE MOYENNE"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,34,2026-01-07 21:00:00,12.74,26.48,33.78,"ALERTE MOYENNE"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,35,2026-01-07 22:00:00,13.35,27.28,34.68,"ALERTE MOYENNE"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,36,2026-01-07 23:00:00,12.16,26.27,33.77,"ALERTE MOYENNE"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,37,2026-01-08,9.62,23.91,31.51,"ALERTE POSSIBLE"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,38,2026-01-08 01:00:00,8.33,22.8,30.49,"ALERTE POSSIBLE"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,39,2026-01-08 02:00:00,7.03,21.68,29.47,"ALERTE POSSIBLE"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,40,2026-01-08 03:00:00,6.29,21.12,28.99,"ALERTE POSSIBLE"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,41,2026-01-08 04:00:00,6.04,21.04,29.01,"ALERTE POSSIBLE"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,42,2026-01-08 05:00:00,5.71,20.88,28.94,"ALERTE POSSIBLE"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,43,2026-01-08 06:00:00,5.56,20.9,29.05,"ALERTE POSSIBLE"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,44,2026-01-08 07:00:00,5.79,21.3,29.53,"ALERTE POSSIBLE"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,45,2026-01-08 08:00:00,6.76,22.43,30.75,"ALERTE POSSIBLE"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,46,2026-01-08 09:00:00,6.95,22.78,31.19,"ALERTE POSSIBLE"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,47,2026-01-08 10:00:00,7.19,23.19,31.69,"ALERTE POSSIBLE"
"Lannemezan Peyrehitte Industrielle","PM2.5","Périurbain",43.0943,0.39977,2026-01-06 11:00:00,48,2026-01-08 11:00:00,7.15,23.3,31.88,"ALERTE POSSIBLE"
"Lunel-Viel - Industriel","PM2.5","Périurbain",43.6758,4.08842,2026-01-06 10:00:00,1,2026-01-06 11:00:00,3.43,5.04,5.89,"Normal"
"Lunel-Viel - Industriel","PM2.5","Périurbain",43.6758,4.08842,2026-01-06 10:00:00,2,2026-01-06 12:00:00,2.69,4.55,5.54,"Normal"
"Lunel-Viel - Industriel","PM2.5","Périurbain",43.6758,4.08842,2026-01-06 10:00:00,3,2026-01-06 13:00:00,1.88,3.96,5.07,"Normal"
