"Station","Commune","Typologie","Lat","Lon","Heure_Ref","Echeance_H","Heure_Prediction","Date_Prevue","Pred_PM25","Risque_Max","Statut"
"Albi Urbain","ALBI","Urbaine",43.9281,2.14611,2026-01-06 13:00:00,1,"14:00",2026-01-06 14:00:00,17.42,22.08,"Normal"
"Albi Urbain","ALBI","Urbaine",43.9281,2.14611,2026-01-06 13:00:00,2,"15:00",2026-01-06 15:00:00,16.52,21.56,"Normal"
"Albi Urbain","ALBI","Urbaine",43.9281,2.14611,2026-01-06 13:00:00,3,"16:00",2026-01-06 16:00:00,16.25,21.63,"Normal"
"Albi Urbain","ALBI","Urbaine",43.9281,2.14611,2026-01-06 13:00:00,4,"17:00",2026-01-06 17:00:00,17.52,23.23,"Normal"
"Albi Urbain","ALBI","Urbaine",43.9281,2.14611,2026-01-06 13:00:00,5,"18:00",2026-01-06 18:00:00,19.16,25.18,"ALERTE RISQUE"
"Albi Urbain","ALBI","Urbaine",43.9281,2.14611,2026-01-06 13:00:00,6,"19:00",2026-01-06 19:00:00,21.01,27.32,"ALERTE RISQUE"
"Albi Urbain","ALBI","Urbaine",43.9281,2.14611,2026-01-06 13:00:00,7,"20:00",2026-01-06 20:00:00,22.68,29.27,"ALERTE RISQUE"
"Albi Urbain","ALBI","Urbaine",43.9281,2.14611,2026-01-06 13:00:00,8,"21:00",2026-01-06 21:00:00,23.19,30.05,"ALERTE RISQUE"
"Albi Urbain","ALBI","Urbaine",43.9281,2.14611,2026-01-06 13:00:00,9,"22:00",2026-01-06 22:00:00,23.09,30.2,"ALERTE RISQUE"
"Albi Urbain","ALBI","Urbaine",43.9281,2.14611,2026-01-06 13:00:00,10,"23:00",2026-01-06 23:00:00,20.63,27.99,"ALERTE RISQUE"
"Albi Urbain","ALBI","Urbaine",43.9281,2.14611,2026-01-06 13:00:00,11,"00:00",2026-01-07,18.75,26.35,"ALERTE RISQUE"
"Albi Urbain","ALBI","Urbaine",43.9281,2.14611,2026-01-06 13:00:00,12,"01:00",2026-01-07 01:00:00,17.05,24.88,"Normal"
"Albi Urbain","ALBI","Urbaine",43.9281,2.14611,2026-01-06 13:00:00,13,"02:00",2026-01-07 02:00:00,15.65,23.71,"Normal"
